🗣️🌍	Part of Speech	English									简体中文									繁體中文									हिंदी									Русский									Português									Deutsch								
👋	particle	o	Georgian -ო -o ‘(vocative suffix)’ & English oh	[command]				vocative, imperative, or optative			o	Georgian -ო -o ‘(vocative suffix)’ & English oh	[祈使]				（呼唤、命令或祈愿）			o	Georgian -ო -o ‘(vocative suffix)’ & English oh	[祈使]				（呼喚、命令或祈願）			ओ	जोर्जियन -ო -o ‘(संबोधक प्रतीक)’ और अंग्रेज़ी oh ओ	[आदेश]				आदेश/फ़र्मान का प्रतीक			о	Грузинский -ო -o ‘(звательный возглас)’ & Английский oh	[команда]				звательный, повелительный или восклицательный возглас			o	Georgiano -ო -o ‘(sufixo vocativo)’ & inglês oh	[comando]				vocativo, imperativo, ou optativo			o	Georgisch -ო -o ‘Rufsuffix’ & Englisch oh	[Befehl]				Vokativ, Imperativ, Optativ		
👌	verb	oke	English okay	accept	to accept	accepted thing					oke	English okay	接受	接受（事情）	接受的事情					oke	English okay	接受	接受（事情）	接受的事情					ओके	अंग्रेज़ी okay ओके 'ठीक है'	मानना	मानना	मानी हुई बात					окэ	Английский okay	ладно!			подтвердить	[поощрительный возглас]			oke	Inglês okay	aceitar	aceitar	coisa aceita					oke	Englisch okay 'oke, okay'	akzeptieren	akzeptieren	akzeptierte Sache				
🛢️	noun	oliwa	Spanish oliva 'olive'	oil		oil, fat, fuel, grease, olive					oliwa	Spanish oliva 'olive'	油脂		油、脂肪、燃油、油脂、橄榄油					oliwa	Spanish oliva 'olive'	油脂		油、脂肪、燃油、油脂、橄欖油					ओलीवा	स्पैनिश oliva ओलिवा 'औलिव'	तेल		तेल					олива	Испанский oliva 'масло'	масло		масло, жир, топливо, смазка					oliwa	Espanhol oliva	óleo		óleo, gordura, combustível, graxa, oliva					oliwa	Spanish oliva 'Olive'	Öl		Öl, Fett, Kraftstoff, Olive				
☝️	noun	on	Serbo-Croatian ona она ‘she’	they		he, she, it, him, her, they					on	Serbo-Croatian ona она ‘she’	佢		他、她、它、佢（第三人称）					on	Serbo-Croatian ona она ‘she’	佢		他、她、它、佢（第三人稱）					ओं	सर्ब-क्रोएशियन ona она ओना ‘वह महिला’	वो लोग		वो इंसान/लोग					он	Сербо-хорватский ona она ‘она’	он		он, она, оно, его, её					on	Servo-croata ona она ‘ela’	ele/a		ele, ela, eles, elas					on	Serbokroatisch ona она ‘sie’	er, sie, es		er, sie, es, ihm, ihr				
🤒	modifier	one	Thai อ่อนแอ on-ae 'weak, feeble'	weak			weak, feeble				one	Thai อ่อนแอ on-ae 'weak, feeble'	虚弱的			弱小的、虚弱的、无力的、软弱的				one	Thai อ่อนแอ on-ae 'weak, feeble'	虛弱的			弱小的、虛弱的、無力的、軟弱的				ओने	थाई อ่อนแอ ओन-आए 'कमज़ोर'	कमज़ोर			कमज़ोर, दुर्बल				онэ	Тайский อ่อนแอ on-ae 'слабый, немощный'	слабый			слабый, немощный				one	Tailandês อ่อนแอ on-ae 'fraco, débil'	fraco			fraco, débil				one	Thailändisch อ่อนแอ on-ae 'schwach'	schwach			schwach			
🔓	modifier	open	English open	starting			starting, beginning				open	English open	开始的			开始的				open	English open	開始的			開始的				ओपें	अंग्रेज़ी open ओपन 'खुला'	शुरुआती			शुरुआती				опэн	Английский open 'открывать'	открывать	открывать, начинать	старт	открытый, начинающий				open	Inglês open 'aberto'	inicial			inicial				open	Englisch open 'öffnen'	startend			startend, beginnend			
🧩	noun	osa	Finnish osa 'part, piece, component'	piece		part, piece, particle, element, component, subdivision, segment					osa	Finnish osa 'part, piece, component'	部分		部分、片断、粒子、元素、组件、分段					osa	Finnish osa 'part, piece, component'	部分		部分、片斷、粒子、元素、組件、分段					ओसा	फ़िन्निश osa ओसा 'टुकड़ा, खंड'	अंग		अंग, टुकड़ा, खंड, भाग					оса	Финский osa 'часть, фрагмент, компонент'	часть		часть, кусок, частица, элемент, компонент, подразделение, сегмент					osa	Finlandês osa 'parte, peça, componente'	peça		parte, peça, partícula, elemento, componente, subdivisão, segmento					osa	Finnisch osa 'Teil, Stück, Komponente'	Teil		Teil, Stück, Partikel, Element, Komponente, Unterteilung, Segment				
8️⃣	numeral	oto	PIE *h₁oḱtṓw 'eight'	eight						eight	oto	PIE *h₁oḱtṓw 'eight'	八						八、8	oto	PIE *h₁oḱtṓw 'eight'	八						八、8	ओतो	आदिम-हिन्द-यूरोपीय भाषा *h₁oḱtṓw 'आठ'	आठ						आठ	ото	Праиндоевропейский *h₁oḱtṓw 'восемь'	восемь						восемь	oto	PIE *h₁oḱtṓw 'oito'	oito						oito	oto	PIE *h₁oḱtṓw 'acht'	acht						acht
💥	modifier	pakala	Tok Pisin bagarap ‘accident’, from English bugger up	broken			botched, broken, damaged, harmed, messed up, ruined, spoiled				pakala	Tok Pisin bagarap ‘accident’, from English bugger up	破碎的			拙劣的、破碎的、损坏的、搞砸的、毁坏的、被宠坏的				pakala	Tok Pisin bagarap ‘accident’, from English bugger up	破碎的			拙劣的、破碎的、損壞的、搞砸的、毀壞的、被寵壞的				पाकाला	टोक पिसिन bagarap बादाराप ‘हादसा’, जिसका मूल है अंग्रेज़ी bugger up बगर अप	टूटा			टूटा, खराब, बिगड़ा हुआ				пакала	Ток-писин bagarap ‘несчастный случай’, от английского bugger up	сломанный		грязное ругательство, чёрт побери	испорченный, сломанный, поврежденный				pakala	Tok Pisin bagarap ‘acidente’, do inglês bugger up 'bagunçar'	quebrado			estragado, quebrado, danificado, prejudicado, bagunçado, arruinado				pakala	Tok Pisin bagarap ‘Unfall’, aus dem Englischen bugger up	kaputt			verpfuscht, kaputt, beschädigt, zerstört			
🚧	modifier	pake	French barrer 'to lock'	stopped			stopped, interrupted				pake	French barrer 'to lock'	停止的			停止的、中断的				pake	French barrer 'to lock'	停止的			停止的、中斷的				पाके	फ्रेंच barrer बोरे 'ताला लगाना'	रुका			रुका हुआ				пакэ	Французский barrer 'запирать'	пауза		пауза, остановка, перерыв	прерванный, остановленый				pake	Francês barrer 'trancar'	parado			parado, interrompido				pake	Französisch barrer 'abschließen'	gestoppt			gestoppt, unterbrochen			
✊	verb	pali	Esperanto fari ‘do, make’, from Italian fare & French faire	do	to do, to take action on, to work on, to build, to make, to prepare, to create, to act, to function	action, creation					pali	Esperanto fari ‘do, make’, from Italian fare & French faire	做	做、采取行动、工作、建造、制作、创造、行动、发挥作用	行动、作品、创造					pali	Esperanto fari ‘do, make’, from Italian fare & French faire	做	做、採取行動、工作、建造、製作、創造、行動、發揮作用	行動、作品、創造					पाली	एस्पेरांटो fari फ़ारी ‘करना, बनाना’	करना	करना, बनाना, (काम) चलना	काम, निर्माण, रचना					пали	Эсперанто fari ‘делать, изготовлять’, от итальянского fare & французского faire	делать	делать, действовать, работать, строить, готовить, создавать, функционировать	действие, создание, строительство					pali	Esperanto fari ‘fazer’, do italiano fare & francês faire	fazer	fazer, tomar uma atitude, trabalhar em, construir, preparar, criar, agir, funcionar	ação, criação					pali	Esperanto fari ‘tun,machen’, aus dem Italienischen fare & Französisch faire	tun	tun, handeln, arbeiten, bauen, machen, schaffen, funktionieren	Aktion, Kreation				
📏	noun	palisa	Serbo-Croatian palica палица ‘bat, rod, cane’	stick		long hard thing, branch, rod, stick					palisa	Serbo-Croatian palica палица ‘bat, rod, cane’	棍棒		长而硬的东西、树枝、棒子、棍子					palisa	Serbo-Croatian palica палица ‘bat, rod, cane’	棍棒		長而硬的東西、樹枝、棒子、棍子					पालीसा	सर्ब-क्रोएशियन palica палица पालिचा ‘डंडा, बल्ला’	डंडा		लकड़ी, शाखा, छड़ी, डंडा, लाठी					палиса	Сербо-хорватский palica палица ‘палка, удочка, трость’	палка		длинный твердый предмет, ветка, стержень, палка, отрезок					palisa	Servo-croata palica палица ‘taco, cajado, bengala’	graveto		coisa longa e dura, ramo, cajado, graveto					palisa	Serbokroatisch palica палица ‘Keule, Rute, Stock’	Stock		langes hartes Ding, Ast, Stange, Stock				
🍞	noun	pan	Romance pan ‘bread’ & Japanese パン pan, from Portuguese pão	grain		cereal, grain, bread, pasta					pan	Romance pan ‘bread’ & Japanese パン pan, from Portuguese pão	谷物		麦片、谷物、面包、面食					pan	Romance pan ‘bread’ & Japanese パン pan, from Portuguese pão	穀物		麥片、穀物、麵包、麵食					पां	रोमांस भाषाएं pan पान ‘नान’	अनाज		अनाज, धान, गेहूं, चावल					пан	Романские языки pan ‘хлеб’ & японский パン pan, от португальского pão	хлеб		каша, зерно, хлеб, макаронные изделия					pan	Romance pan ‘pão’ & japonês パン pan, do português pão	grão		cereal, grão, pão, massa					pan	Romanisch pan ‘Brot’ & Japanisch パン pan, aus dem Portugiesischen pão	Getreide		Getreide, Brot, Nudeln				
📤	verb	pana	Finnish panna ‘put, set, place’ or Swahili pana ‘give to each other’	give	to give, to send, to provide, to release	given thing, gift (given)					pana	Finnish panna ‘put, set, place’ or Swahili pana ‘give to each other’	给予	给予、发送、提供、释放	给予的东西、礼物（给予）					pana	Finnish panna ‘put, set, place’ or Swahili pana ‘give to each other’	給予	給予、發送、提供、釋放	給予的東西、禮物（給予）					पाना	फ़िन्निश panna पान्ना ‘रखना’ यां स्वाहिली pana पाना ‘एक दूसरे को देना’	देना	देना, भेजना	दी हुई चीज़, (दिया हुआ) तोहफ़ा					пана	Финский panna ‘положить, установить, разместить’ или суахили pana ‘давать друг другу’	давать	давать, отправлять, посылать	посылка, подарок (врученный)					pana	Finlandês panna ‘pôr, posicionar’ ou suaíle pana ‘dar um ao outro’	dar	dar, enviar, providenciar, lançar	coisa dada, presente					pana	Finnisch panna ‘setzen, platzieren’ oder Swahili pana ‘jemanden (etwas) geben’	geben	geben, senden, bereitstellen, freigeben	gegebene Sache, Geschenk (gegeben)				
🤮	verb	papon	Cantonese 排放 paai4 fong3 'emit'	emit	emit, excrete, exhale, vomit, ejaculate	excreta, emitted object					papon	Cantonese 排放 paai4 fong3 'emit'	发射	发射、排泄、呼气、呕吐、射精	排泄物、排出物					papon	Cantonese 排放 paai4 fong3 'emit'	發射	發射、排泄、呼氣、嘔吐、射精	排泄物、排出物					पापों	कैंटोनी 排放 पाई फ़ोङ 'छोड़ना, भीतर से निकालना'	उगलना	उगलना, (अंदर से बाहर) छोड़ना, फेंकना, बाहर भेजना, शौंच करना, मूतना, निकालना, उलटी करना	उगली हुई चीज़, निकाली हुई चीज़, शौंच, मूत्र					папон	Китайский кантонский 排放 paai4 fong3 'излучать'	испускать	испускать, выделять, выдыхать, вырвать, эякулировать	выбросы, отбросы, экскременты, испускаемый объект					papon	Cantonês 排放 paai4 fong3 'emitir'	emitir	emitir, excretar, exalar, vomitar, ejacular	excreção, objeto emitido					papon	Kantonesisch 排放 paai4 fong3 'emittieren'	emittieren	emittieren, ausscheiden, ausatmen, erbrechen, ejakulieren	excreta, emitted object				
😀	modifier	pasan	Hindi पसंद pasand 'liked, favored, preferred', ultimately from Classical Persian پسند 'preference'	happy			happy, joyful				pasan	Hindi पसंद pasand 'liked, favored, preferred', ultimately from Classical Persian پسند 'preference'	快乐的			快乐的、愉悦的、愉快的				pasan	Hindi पसंद pasand 'liked, favored, preferred', ultimately from Classical Persian پسند 'preference'	快樂的			快樂的、愉悅的、愉快的				पासां	हिंदी पसंद जिसका मूल है फ़ारसी پسند पसंद	खुश			खुश, सुखी				пасан	Хинди पसंद pasand 'нравится, предпочтительный', от классического персидского پسند 'предпочтение'	счастливый			счастливый, радостный				pasan	Híndi पसंद pasand 'adorado, favorecido, preferido', derivado do persa clássico پسند 'preferência'	feliz			feliz, alegre				pasan	Hindi पसंद pasand 'gemocht', aus dem klassischen Persisch پسند 'Präferenz'	glücklich			glücklich, fröhlich			
🥳	verb	pati	English party	celebrate	celebrate, party	occasion, festival, party					pati	English party	庆祝	庆祝、组织聚会	节日、聚会					pati	English party	慶祝	慶祝、組織聚會	節日、聚會					पाती	अंग्रेज़ी party पार्टी	(त्यौहार) मनाना	(त्यौहार) मनाना, पार्टी करना	त्यौहार, पार्टी					пати	Английский party 'вечеринка'	праздновать	праздновать, отмечать (событие)	фестиваль, шоу, вечеринка					pati	Inglês party 'festa'	celebrar	celebrar, festejar	ocasião, festival, festa					pati	Englisch party 'Feier, Party'	feiern	feiern	Ereignis, Fest, Feier, Party				
🙆	modifier	patila	French facile ‘easy’	easy			easy, simple				patila	French facile ‘easy’	简单的			简单的、容易的				patila	French facile ‘easy’	簡單的			簡單的、容易的				पातीला	फ्रेंच facile फ़ासीले ‘आसान’	आसान			सरल, आसान				патила	Французский facile ‘легко’	легко			легко, простой				patila	Francês facile ‘fácil’	fácil			fácil, simples				patila	Französisch facile ‘einfach’	einfach			einfach, simpel			
🍚	modifier	pawita	Sanskrit पवित्र pavitra 'pure'	pure			pure, homogenous				pawita	Sanskrit पवित्र pavitra 'pure'	纯粹的			纯的、纯粹的、纯洁的、同质的				pawita	Sanskrit पवित्र pavitra 'pure'	純粹的			純的、純粹的、純潔的、同質的				पावीता	संस्कृत पवित्र	पवित्र			पवित्र, शुद्ध				павита	Санскрит पवित्र pavitra 'чистый'	чистый			чистый, однородный				pawita	Sânscrito पवित्र pavitra 'puro'	puro			puro, homogêneo				pawita	Sanskrit पवित्र pavitra 'pur'	pur			pur, homogen			
🐶	noun	pawo	onomatopoeia	dog		dog, wolf, bear, any animal of the Caniformia suborder					pawo	onomatopoeia	犬		狗、狼、熊、犬形目亚目的任何动物					pawo	onomatopoeia	犬		狗、狼、熊、犬形目亞目的任何動物					पावो	अर्थानुरणन	कुत्ता		कुत्ता, भालू, भेड़िया, आदि					паво	звукоподражание	собака		собака, волк, медведь, любое животное подотряда Caniformia					pawo	onomatopeia	cachorro		cão, lobo, urso, qualquer animal da subordem Caniformia					pawo	Lautmalerei	Hund		Hund, Wolf, Bär, Tier der Unterordnung der Hundeartigen				
🙏	particle	peko	Italian prego (courtesy formula)	please				please, pardon, [offer help], you're welcome			peko	Italian prego (courtesy formula)	请				请、不好意思、[提供帮助]、不客气、你好（打招呼）			peko	Italian prego (courtesy formula)	請				請、不好意思、[提供幫助]、不客氣、你好（打招呼）			पेको	इतालवी prego प्रेगो (इज़्ज़त प्रतीक)	धन्यवाद				धन्यवाद, कृपया, माफ़ करिए			пэко	Итальянский prego (выражение любезности)	пожалуйста				пожулуйста, извините, не за что, привет, добро пожаловать			peko	Italiano prego (cortesia)	por favor				por favor, perdão, [oferecer ajuda], de nada			peko	Italienisch prego 'bitte'	bitte				bitte		
🔧	preposition	pelu	Yoruba kpelu	using					with the help of, with use of		pelu	Yoruba kpelu	用					用、借助、使用、凭借		pelu	Yoruba kpelu	用					用、借助、使用、憑藉		पेलू	योरुबा kpelu क्पेलू 'से (औज़ार)'	से (औज़ार)					से, के इस्तेमाल के साथ		пэлу	Йоруба kpelu 'используя'	используя					при помощи, с использованием		pelu	Iorubá kpelu	usando					com a ajuda de, usando		pelu	Yoruba kpelu	benutzend					mit Hilfe von, unter Verwendung von	
🤝	noun	peman	Persian پیمان peymân 'agreement'	deal		agreement, deal, pact, treaty					peman	Persian پیمان peymân 'agreement'	协议		协议、交易、条约、约定					peman	Persian پیمان peymân 'agreement'	協議		協議、交易、條約、約定					पेमां	फ़ारसी پیمان पेयमान 'समझौता'	सौदा		सौदा, समझौता, सुलाह					пэман	Персидский پیمان peymân 'соглашение'	сделка		соглашение, сделка, пакт, договор					peman	Persa پیمان peymân 'acordo'	acordo		acordo, pacto, tratado					peman	Persisch پیمان peymân 'Abkommen'	Vertrag		Vereinbarung, Abkommen, Pakt, Vertrag, Zustimmung, Einigung				
📆	noun	penke	Mandarin 片刻 piànkè 'moment'	moment		event, instant, moment, instance					penke	Mandarin 片刻 piànkè 'moment'	瞬间		瞬间、片刻、事件、实例					penke	Mandarin 片刻 piànkè 'moment'	瞬間		瞬間、片刻、事件、實例					पेंके	चीनी 片刻 प्यांके 'पल'	पल		पल, क्षण, बार					пэнкэ	Китайский 片刻 piànkè 'момент'	момент		событие, мгновение, момент, случай, пример					penke	Mandarim 片刻 piànkè 'momento'	moment		evento, instante, momento, instância					penke	Mandarin 片刻 piànkè 'Moment'	Moment		Ereignis, Moment, Instanz				
🩹	verb	pesoni	Esperanto bezoni 'need, require', from French besoin 'need'	need	need	need, necessity					pesoni	Esperanto bezoni 'need, require', from French besoin 'need'	需要	需要	需要					pesoni	Esperanto bezoni 'need, require', from French besoin 'need'	需要	需要	需要					पेसोनी	एस्पेरांटो bezoni बेज़ोनी 'ज़रूरत होना', जिसका मूल है फ्रेंच besoin बेसोइन	ज़रूरी	की ज़रूरत होना	ज़रूरत, आवश्यक्ता					пэсони	Эсперанто bezoni 'нужно, требуется', от французского besoin 'нужно'	нужно	нуждаться	нужда, потребность, необходимость					pesoni	Esperanto bezoni 'precisar de, requerer', do francês besoin 'necessidade'	precisar	precisar de	necessidade					pesoni	Esperanto bezoni 'brauchen, aus dem Französischen besoin 'brauchen'	brauchen	brauchen	Notwendigkeit				
🥦	modifier	peta	Esperanto verda ‘green’, from Italian 'verde' & French 'vert'	green			green				peta	Esperanto verda ‘green’, from Italian 'verde' & French 'vert'	绿色的			绿色的				peta	Esperanto verda ‘green’, from Italian 'verde' & French 'vert'	綠色的			綠色的				पेता	एस्पेरांटो verda वेर्दा ‘हरा’	हरा			हरा				пэта	Эсперанто verda ‘зеленый’, от итальянского 'verde' & французского 'vert'	зеленый			зеленый				peta	Esperanto verda ‘verde’, do italiano 'verde' & francês 'vert'	verde			verde				peta	Esperanto verda ‘grün’, aus dem Italienischen 'verde' & Französisch 'vert'	grün			grün			
⏹️	particle	pi	Tok Pisin bilong ‘of’, from English belong	of				of, relating to, genitive case			pi	Tok Pisin bilong ‘of’, from English belong	属于				属于、有关于			pi	Tok Pisin bilong ‘of’, from English belong	屬於				屬於、有關於			पी	टोक पिसिन bilong बिलोंग ‘का’, जिस का मूल है अंग्रेज़ी belong बिलाॅङ्ग 'का मालिक होना'	का				का, से नाता रखने वाला			пи	Ток-писин bilong ‘принадлежать’, от английского belong	[принадлежность]				[кого, чего], относящийся к родительному падежу			pi	Tok Pisin bilong ‘de’, do inglês belong 'pertencer'	de				de, relativo a, caso genitivo			pi	Tok Pisin bilong ‘von’, aus dem Englisch belong	von				von, sich beziehend auf, Genetiv		
⚠️	modifier	pilate	Akan pirade 'danger, danagerous'	dangerous			dangerous				pilate	Akan pirade 'danger, danagerous'	危险的			危险的				pilate	Akan pirade 'danger, danagerous'	危險的			危險的				पीलाते	अकान pirade पिरादे 'खतरा, खतरनाक'	ख़तरनाक			ख़तरनाक, जोखिम वाला				пилатэ	Аканский pirade 'опасный, опасность'	опасный		опасность, угроза	опасный				pilate	Akan pirade 'perigo, perigoso'	perigoso			perigoso				pilate	Akan pirade 'Gefahr, gefährlich'	gefährlich			gefährlich			
❤️	verb	pilin	Tok Pisin pilim ‘feel’, from pil (from English feel) + -im ‘(transitive suffix)’ (from English him, ’em)	feel	to feel, to sense	feeling					pilin	Tok Pisin pilim ‘feel’, from pil (from English feel) + -im ‘(transitive suffix)’ (from English him, ’em)	感觉	感觉、感受	感觉、感受					pilin	Tok Pisin pilim ‘feel’, from pil (from English feel) + -im ‘(transitive suffix)’ (from English him, ’em)	感覺	感覺、感受	感覺、感受					पीलीं	टोक पिसिन pilim पीलीम ‘महसूस करना’, जिसका मूल है अंग्रेज़ी feel फ़ील	महसूस	महसूस करना, लगना	अहसास					пилин	Ток-писин pilim ‘чувствовать’, от pil (от английского feel) + -im ‘(переходный суффикс)’ (от английского him, ’em)	чувствовать	чувствовать, ощущать, воспринимать	чувства					pilin	Tok Pisin pilim ‘sentir’, de pil (do inglês feel) + -im ‘(sufixo transitivo)’ (do inglês him, ’em)	sentir	to feel, to sense	feeling					pilin	Tok Pisin pilim ‘fühlen’, aus pil (aus dem Englischen feel) + -im ‘(transitiver Suffix)’ (aus dem Englischen him, ’em)	fühlen	fühlen, spüren	Gefühl				
🎱	modifier	pimeja	Finnish pimeä ‘dark’	black			black, dark, unlit				pimeja	Finnish pimeä ‘dark’	黑色的			黑色的、黑暗的、不亮的				pimeja	Finnish pimeä ‘dark’	黑色的			黑色的、黑暗的、不亮的				पीमेया	फ़िन्निश pimeä पिमेआ ‘अंधेरा’	काला			काला, अंधेर				пимэя	Финский pimeä ‘тёмный’	чёрный			черный, темный, неосвещенный				pimeja	Finlandês pimeä ‘escuro’	preto			preto, negro, escuro, apagado				pimeja	Finnisch pimeä ‘dunkel’	schwarz			schwarz, dunkel, unbeleuchtet			
❕	modifier	pin	Mandarin 并 bìng ‘in addition; besides; as well; further; too’	too			too, also, as well, indeed, even				pin	Mandarin 并 bìng ‘in addition; besides; as well; further; too’	也			也、 同样、 确实、甚至				pin	Mandarin 并 bìng ‘in addition; besides; as well; further; too’	也			也、 同樣、 確實、甚至				पीं	चीनी 并 बीङ ‘भी’	भी			भी				пин	Китайский 并 bìng ‘кроме того; также; дальше; слишком’	также				тоже, также, действительно, даже			pin	Mandarim 并 bìng ‘em adição a; além de; assim como; também’	também			também, assim como, até mesmo				pin	Mandarin 并 bìng ‘in Ergänzung; Außerdem; sowohl; des Weiteren; auch’	auch			auch, in der Tat, sogar			
🏁	modifier	pini	French fini ‘finished, completed’ & Tok Pisin pinis ‘(perfective aspect)’, ultimately from English finish	end			ending, terminal				pini	French fini ‘finished, completed’ & Tok Pisin pinis ‘(perfective aspect)’, ultimately from English finish	结束的			结束的、终结的				pini	French fini ‘finished, completed’ & Tok Pisin pinis ‘(perfective aspect)’, ultimately from English finish	結束的			結束的、終結的				पीनी	फ्रेंच fini फ़ीनी ‘खत्म' और टोक पिसिन pinis पिनिस ‘(भूत काल)’, जिसका मूल है अंग्रेज़ी finish फ़िनिश 'खत्म'	आखरी			आखरी, अंतिम				пини	Французский fini ‘закончено, завершено’ & Ток-писин pinis ‘(совершенный акт)’, от английского finish	конец	заканчивать	финал, завершение	законченый				pini	Francês fini ‘terminado, completo’ & Tok Pisin pinis ‘(aspecto perfectivo)’, derivado do inglês finish 'terminar'	final			final, terminal				pini	Französisch fini ‘beendet’ & Tok Pisin pinis ‘(Perfekt)’, aus dem Englischen finish	endend			endend			
🐞	noun	pipi	Acadian French bibitte ‘bug’	bug		bug, insect, ant, spider					pipi	Acadian French bibitte ‘bug’	虫		虫子、昆虫、蚂蚁、蜘蛛					pipi	Acadian French bibitte ‘bug’	蟲		蟲子、昆蟲、螞蟻、蜘蛛					पीपी	अकाडियन bibitte बिबिटे ‘कीड़ा’	कीड़ा		कीड़ा, मकड़ी, चींटी, आदि					пипи	Французский акадский bibitte ‘жук’	жук		жук, насекомое, муравей, паук					pipi	Acadian French bibitte ‘bicho’	inseto		bicho, inseto, formiga, aranha					pipi	Akadisches Französisch bibitte ‘Käfer’	Käfer		Käfer, Insekt, Ameise, Spinne				
⏮️	modifier	pisile	Hindi पिछले pichle 'previous'	previous			previous, in the past				pisile	Hindi पिछले pichle 'previous'	过去的			以前的、过去的				pisile	Hindi पिछले pichle 'previous'	過去的			以前的、過去的				पीसीले	हिंदी पिछले	पिछला			पिछला, पहले, भूतकाल में				писилэ	Хинди पिछले pichle 'предыдущий'	предыдущий			предыдущий, в прошлом				pisile	Híndi पिछले pichle 'anterior'	anterior			anterior, no passado				pisile	Hindi पिछले pichle 'vorig'	vorig			vorig, zuvor, früher, in der Vergangenheit			
4️⃣	numeral	po	English four	four						four	po	English four	四						四、4	po	English four	四						四、4	पो	अंग्रेज़ी four 'चार'	चार						चार	по	Английский four 'четыре'	четыре						четыре	po	Inglês four 'quatro'	quatro						quatro	po	Englisch four 'vier'	vier						vier
↔️	noun	poka	Serbo-Croatian boka бока, genitive of bok бок ‘side, flank’	near		side, vicinity, nearby area					poka	Serbo-Croatian boka бока, genitive of bok бок ‘side, flank’	旁边		旁边、附近、附近区域					poka	Serbo-Croatian boka бока, genitive of bok бок ‘side, flank’	旁邊		旁邊、附近、附近區域					पोका	सर्ब-क्रोएशियन boka бока 'तरफ़'	पास		पास, करीब, निकट					пока	Сербо-хорватский boka бока, родительный падеж от bok бок ‘сторона, фланг’	рядом		сторона, окрестности, близлежащая территория	сбоку, рядом				poka	Servo-croata boka бока, genitivo de bok бок ‘lado, flanco’	lado		lado, vizinhança, arredores					poka	Serbokroatisch boka бока, Genitiv von bok бок ‘Seite, Flanke’	nah		Seite, Umgebung, naher Bereich				
👍	modifier	pona	Esperanto bona ‘good’	good			good				pona	Esperanto bona ‘good’	好的			好的				pona	Esperanto bona ‘good’	好的			好的				पोना	एस्पेरांटो bona बोना ‘अच्छा’	अच्छा			अच्छा				пона	Эсперанто bona ‘хорошо’	хороший			хороший				pona	Esperanto bona ‘bom’	bom			bom				pona	Esperanto bona ‘gut’	gut			gut			
🗻	noun	popoto	Bengali পর্বত porbot 'mountain'	mountain		mountain, bump, obtrusion					popoto	Bengali পর্বত porbot 'mountain'	山		山、丘、隆起、突起					popoto	Bengali পর্বত porbot 'mountain'	山		山、丘、隆起、突起					पोपोतो	बंगाली পর্বত पर्बत 'पर्वत, पहाड़'	पहाड़		पहाड़, पर्वत					попото	Бенгали পর্বত porbot 'гора'	гора		гора, неровность, препятствие					popoto	Bengáli পর্বত porbot 'montanha'	montanha		montanha, protuberância					popoto	Bengali পর্বত porbot 'Berg'	Berg		Berg, Beule, Hügel				
🌚	modifier	posi	Turkish boş 'empty, unoccupied'	empty			empty, unstarted				posi	Turkish boş 'empty, unoccupied'	空的			空的、未开始的				posi	Turkish boş 'empty, unoccupied'	空的			空的、未開始的				पोसी	तुर्की boş बोस 'खाली'	ख़ाली			ख़ाली				поси	Турецкий boş 'пустой, незанятый'	пустой			пустой, не запущенный				posi	Turco boş 'vazio, não ocupado'	vazio			vazio, não iniciado				posi	Türkisch boş 'leer, unbesetzt'	leer			leer, ungestartet			
🧞	modifier	powe	French faux ‘false’	trick			pretend, false, unreal				powe	French faux ‘false’	虚假的			假装的、虚假的、不真实的				powe	French faux ‘false’	虛假的			假裝的、虛假的、不真實的				पोवे	फ्रेंच faux फ़ौ ‘झूठा’	झूठा			बनावटी, झूठा				повэ	Французский faux ‘ложь’	ложный	лгать, притворяться	обман, трюк	нереальный, обманчивый				powe	Francês faux ‘falso’	falso			faz-de-conta, falso, irreal				powe	Französisch faux ‘falsch’	Trick			vorgeben, falsch, unwirklich			
👵	modifier	pulono	Bengali পুরোনো purono 'old'	old			old, ancient				pulono	Bengali পুরোনো purono 'old'	老的			旧的、老的、古老的				pulono	Bengali পুরোনো purono 'old'	老的			舊的、老的、古老的				पूलोनो	बंगाली পুরোনো पुरोनो 'पुराना'	पुराना			पुराना, प्राचीन, वृद्ध, बूढ़ा				пулоно	Бенгали পুরোনো purono 'старый'	старый			старый, древний				pulono	Bengáli পুরোনো purono 'velho'	velho			velho, antigo				pulono	Bengali পুরোনো purono 'alt'	alt			alt, antik			
☁️	noun	pume	French fumer 'smoke'	smoke		smoke, cloud					pume	French fumer 'smoke'	烟		烟雾、云					pume	French fumer 'smoke'	煙		煙霧、雲					पूमे	फ्रेंच fumer फ़ूमे 'धूम्रपान करना'	धुआं		धुआं, बादल, धूम्र					пумэ	Французский fumer 'дым'	дым		дым, облако					pume	Francês fumer 'fumar'	fumaça		fumaça, nuvem					pume	Französisch fumer 'Rauch'	Rauch		Rauch, Wolke				
